distance_m,radial_velocity_mps,launch_angle_deg,pivot_output_rotations,ball_speed_mps,wheel_rps,tof_s,robust_margin_m
3.25,0.0,36.5,0.11105555555555556,8.0,43.44386898046487,0.5053760437997297,-0.3
3.25,0.5,33.5,0.11938888888888889,8.0,43.44386898046487,0.45320886386081055,-0.3989637840095166
3.25,1.0,30.0,0.1291111111111111,8.0,43.44386898046487,0.4099289467743703,-0.5516794131852548
3.5,-3.0,33.0,0.12077777777777778,9.9,53.76178786332528,0.6600238568535839,-0.22234924156341984
3.5,-2.5,34.5,0.11661111111111111,9.5,51.589594414302034,0.6567591370983834,-0.20694787442654095
3.5,-2.0,36.5,0.11105555555555556,9.1,49.41740096527879,0.6585015693560702,-0.20081217661851247
3.5,-1.5,37.0,0.10966666666666666,8.8,47.788255878511364,0.6331412365943325,-0.1832820787896443
3.5,-1.0,39.5,0.10272222222222223,8.4,45.616062429488125,0.6384942917622114,-0.1505372136538048
3.5,-0.5,42.0,0.09577777777777778,8.0,43.44386898046487,0.6427728289760286,-0.1488402072574364
3.5,0.0,37.0,0.10966666666666666,8.0,43.44386898046487,0.5478093504433488,-0.3
3.5,0.5,36.5,0.11105555555555556,8.0,43.44386898046487,0.5049882096949201,-0.3
3.5,1.0,34.0,0.11800000000000001,8.0,43.44386898046487,0.45857732712592836,-0.37392948873716425
3.5,1.5,30.5,0.1277222222222222,8.0,43.44386898046487,0.41701252476470885,-0.5296208181419262
3.75,-3.0,32.0,0.12355555555555556,10.2,55.39093295009271,0.66370617362244,-0.2197959322176697
3.75,-2.5,33.5,0.11938888888888889,9.8,53.21873950106947,0.6611330061763602,-0.2076715446064583
3.75,-2.0,35.0,0.11522222222222223,9.4,51.046546052046224,0.6578913647083597,-0.19153786908309622
3.75,-1.5,36.0,0.11244444444444444,9.1,49.41740096527879,0.639707444685791,-0.16208664567979714
3.75,-1.0,38.0,0.1068888888888889,8.7,47.24520751625554,0.6404023646208751,-0.16094421012645177
3.75,-0.5,40.0,0.10133333333333333,8.3,45.07301406723231,0.6401317678216656,-0.14801639258125743
3.75,0.0,41.5,0.09716666666666667,8.0,43.44386898046487,0.6258714460531607,-0.13190104088294907
3.75,0.5,37.0,0.10966666666666666,8.0,43.44386898046487,0.5443394152614339,-0.3
3.75,1.0,36.0,0.11244444444444444,8.0,43.44386898046487,0.501864530113493,-0.3
3.75,1.5,34.5,0.11661111111111111,8.0,43.44386898046487,0.4633628560352977,-0.34854650483637784
3.75,2.0,31.0,0.12633333333333333,8.0,43.44386898046487,0.4233777494175824,-0.5069743410730294
4.0,-3.0,30.5,0.1277222222222222,10.6,57.56312639911595,0.652180743146653,-0.2070299665289248
4.0,-2.5,31.5,0.12494444444444444,10.2,55.39093295009271,0.6454809411870159,-0.2130224911967793
4.0,-2.0,33.0,0.12077777777777778,9.8,53.21873950106947,0.6431931642774021,-0.19001588467748398
4.0,-1.5,34.5,0.11661111111111111,9.4,51.046546052046224,0.6403292651922085,-0.18070127503811628
4.0,-1.0,36.5,0.11105555555555556,9.0,48.874352603022984,0.6415693560896066,-0.163168315396363
4.0,-0.5,38.5,0.1055,8.6,46.70215915399974,0.6420102471875819,-0.15761257999075617
4.0,0.0,40.0,0.10133333333333333,8.3,45.07301406723231,0.6291119466661583,-0.1427080327978547
4.0,0.5,40.5,0.09994444444444445,8.0,43.44386898046487,0.6076028378715416,-0.1599819628903445
4.0,1.0,37.0,0.10966666666666666,8.0,43.44386898046487,0.5413390829618477,-0.3
4.0,1.5,36.0,0.11244444444444444,8.0,43.44386898046487,0.5017475896772022,-0.3
4.0,2.0,34.5,0.11661111111111111,8.0,43.44386898046487,0.46549465537326146,-0.34877965042962256
4.0,2.5,31.5,0.12494444444444444,8.0,43.44386898046487,0.42913291919447333,-0.4838195559685259
4.25,-3.0,30.0,0.1291111111111111,10.8,58.64922312362758,0.6689674571063421,-0.23402184676050553
4.25,-2.5,31.0,0.12633333333333333,10.5,57.02007803686014,0.6538203372600555,-0.21626720479446004
4.25,-2.0,32.0,0.12355555555555556,10.1,54.8478845878369,0.6473442509778515,-0.18984071121905677
4.25,-1.5,33.5,0.11938888888888889,9.7,52.675691138813654,0.6450445238927023,-0.17256939736715693
4.25,-1.0,35.0,0.11522222222222223,9.3,50.50349768979042,0.6421769090659427,-0.16760992216672488
4.25,-0.5,36.0,0.11244444444444444,9.0,48.874352603022984,0.6267370802176062,-0.15580543712524664
4.25,0.0,38.0,0.1068888888888889,8.6,46.70215915399974,0.6271310946579606,-0.14317184033095565
4.25,0.5,40.5,0.09994444444444445,8.2,44.52996570497649,0.6310011065224003,-0.13516305488095615
4.25,1.0,39.5,0.10272222222222223,8.0,43.44386898046487,0.5924999267728932,-0.19619240330743715
4.25,1.5,37.0,0.10966666666666666,8.0,43.44386898046487,0.5387190650649244,-0.3
4.25,2.0,36.0,0.11244444444444444,8.0,43.44386898046487,0.5016444521870531,-0.3
4.25,2.5,35.0,0.11522222222222223,8.0,43.44386898046487,0.4694464192248954,-0.3230045480336148
4.25,3.0,32.0,0.12355555555555556,8.0,43.44386898046487,0.4343655835526962,-0.4602273463417028
4.5,-3.0,30.0,0.1291111111111111,11.0,59.7353198481392,0.6895199692639719,-0.2776929044404788
4.5,-2.5,30.0,0.1291111111111111,10.8,58.64922312362758,0.6566395989649602,-0.21499036977335417
4.5,-2.0,30.5,0.1277222222222222,10.5,57.02007803686014,0.638559982225161,-0.18759660837898062
4.5,-1.5,32.5,0.12216666666666667,10.0,54.30483622558109,0.6489840662404627,-0.18804606361489262
4.5,-1.0,33.5,0.11938888888888889,9.7,52.675691138813654,0.6348138272992442,-0.17278643797992355
4.5,-0.5,35.0,0.11522222222222223,9.3,50.50349768979042,0.6321899301535159,-0.15565550436461195
4.5,0.0,36.5,0.11105555555555556,8.9,48.33130424076717,0.6289900631561026,-0.14978617574184083
4.5,0.5,38.5,0.1055,8.5,46.15911079174393,0.6291797341937353,-0.14173876825393483
4.5,1.0,41.0,0.09855555555555556,8.1,43.98691734272068,0.632631326267391,-0.1263013989730133
4.5,1.5,38.5,0.1055,8.0,43.44386898046487,0.5798322548127747,-0.23771871700078862
4.5,2.0,36.5,0.11105555555555556,8.0,43.44386898046487,0.5337537013048983,-0.3
